id	name	values
AZE	Azerbaijan	null
AUT	Austria	7729
HND	Honduras	null
CHE	Switzerland	6034
TJK	Tajikistan	null
ISR	Israel	null
SRB	Serbia	1342
BGR	Bulgaria	-5489
HKG	Hong Kong	null
LAO	Laos	null
LBY	Libya	null
JOR	Jordan	null
PRY	Paraguay	null
TGO	Togo	null
PNG	Papua New Guinea	null
SLV	El Salvador	null
NIC	Nicaragua	null
ERI	Eritrea	null
DNK	Denmark	4714
KGZ	Kyrgyzstan	null
SVK	Slovakia	3030
FIN	Finland	20443
SLE	Sierra Leone	null
ARE	United Arab Emirates	null
TKM	Turkmenistan	null
CAF	Central African Republic	null
SGP	Singapore	null
NOR	Norway	-14926
BIH	Bosnia and Herzegovina	-1840
GEO	Georgia	null
CRI	Costa Rica	null
HRV	Croatia	7377
MDA	Moldova	null
NZL	New Zealand	null
IRL	Ireland	-680
COG	Congo, Republic of the	null
LBN	Lebanon	null
PRI	Puerto Rico	null
LBR	Liberia	null
ALB	Albania	2916
LTU	Lithuania	8677
URY	Uruguay	null
PAN	Panama	null
MRT	Mauritania	null
MNG	Mongolia	null
OMN	Oman	null
ARM	Armenia	null
JAM	Jamaica	null
KWT	Kuwait	null
PSE	West Bank	null
LVA	Latvia	-64
NAM	Namibia	null
MKD	Macedonia	1972
BWA	Botswana	null
SVN	Slovenia	-423
LSO	Lesotho	null
GMB	Gambia, The	null
KWT	Kosovo	null
149	Gaza Strip	null
GNB	Guinea-Bissau	null
GAB	Gabon	null
SWZ	Swaziland	null
153	Mauritius	null
EST	Estonia	-2731
TTO	Trinidad and Tobago	null
TLS	Timor-Leste	null
CYP	Cyprus	null
FJI	Fiji	null
QAT	Qatar	null
160	Comoros	null
GUY	Guyana	null
DJI	Djibouti	null
163	Bahrain	null
BTN	Bhutan	null
MNE	Montenegro	1129
GNQ	Equatorial Guinea	null
SLB	Solomon Islands	null
168	Macau	null
169	Cape Verde	null
LUX	Luxembourg	6175
ESH	Western Sahara	null
SUR	Suriname	null
173	Malta	null
174	Maldives	null
BRN	Brunei	null
BLZ	Belize	null
BHS	Bahamas, The	null
ISL	Iceland	37750
179	French Polynesia	null
180	Barbados	null
181	Mayotte	null
NCL	New Caledonia	null
183	Netherlands Antilles	3897
VUT	Vanuatu	null
185	Samoa	null
186	Sao Tome and Principe	null
187	Saint Lucia	null
188	Tonga	null
189	Virgin Islands	null
190	Grenada	null
191	Micronesia, Federated States of	null
192	Aruba	null
193	Saint Vincent and the Grenadines	null
194	Kiribati	null
195	Jersey	null
196	Seychelles	null
197	Antigua and Barbuda	null
198	Andorra	null
199	Isle of Man	null
DOM	Dominica	null
201	Bermuda	null
202	American Samoa	null
203	Marshall Islands	null
204	Guernsey	null
GRL	Greenland	null
206	Cayman Islands	null
207	Saint Kitts and Nevis	null
208	Faroe Islands	null
209	Northern Mariana Islands	null
210	Liechtenstein	null
211	San Marino	null
212	Monaco	null
213	Saint Martin	null
214	Gibraltar	null
215	British Virgin Islands	null
216	Turks and Caicos Islands	null
217	Palau	null
218	Akrotiri	null
219	Dhekelia	null
220	Wallis and Futuna	null
221	Anguilla	null
222	Nauru	null
223	Cook Islands	null
224	Tuvalu	null
225	Saint Helena, Ascension, and Tristan da Cunha	null
226	Saint Barthelemy	null
227	Saint Pierre and Miquelon	null
228	Montserrat	null
FLK	Falkland Islands (Islas Malvinas)	null
230	Norfolk Island	null
231	Svalbard	null
232	Christmas Island	null
233	Tokelau	null
234	Niue	null
235	Holy See (Vatican City)	null
236	Cocos (Keeling) Islands	null
237	Pitcairn Islands	null
ATA	Antarctica	null
ATF	French Southern and Antarctic Lands	null
SDS	South Sudan	null
ABV	Somaliland	null
OSA	Kosovo	null
